Detected_Timestamp,Player,Entry_Name,Old_Value,New_Value
2026-09-01 20:05:34,Mas120,Quest: A Kingdom Divided,0,0
2026-09-01 20:05:34,Mas120,Quest: A Night at the Theatre,0,0
2026-09-01 20:05:34,Mas120,Quest: A Porcine of Interest,0,2
2026-09-01 20:05:34,Mas120,Quest: A Soul's Bane,0,2
2026-09-01 20:05:34,Mas120,Quest: A Tail of Two Cats,0,0
2026-09-01 20:05:34,Mas120,Quest: A Taste of Hope,0,0
2026-09-01 20:05:34,Mas120,Quest: Alfred Grimhand's Barcrawl,0,2
2026-09-01 20:05:34,Mas120,Quest: Animal Magnetism,0,2
2026-09-01 20:05:34,Mas120,Quest: Another Slice of H.A.M.,0,2
2026-09-01 20:05:34,Mas120,Quest: At First Light,0,0
2026-09-01 20:05:34,Mas120,Quest: Barbarian Training,0,1
2026-09-01 20:05:34,Mas120,Quest: Bear Your Soul,0,0
2026-09-01 20:05:34,Mas120,Quest: Below Ice Mountain,0,2
2026-09-01 20:05:34,Mas120,Quest: Beneath Cursed Sands,0,0
2026-09-01 20:05:34,Mas120,Quest: Between a Rock...,0,0
2026-09-01 20:05:34,Mas120,Quest: Bone Voyage,0,2
2026-09-01 20:05:34,Mas120,Quest: Children of the Sun,0,2
2026-09-01 20:05:34,Mas120,Quest: Client of Kourend,0,2
2026-09-01 20:05:34,Mas120,Quest: Cold War,0,0
2026-09-01 20:05:34,Mas120,Quest: Contact!,0,0
2026-09-01 20:05:34,Mas120,Quest: Creature of Fenkenstrain,0,2
2026-09-01 20:05:34,Mas120,Quest: Current Affairs,0,0
2026-09-01 20:05:34,Mas120,Quest: Curse of the Empty Lord,0,0
2026-09-01 20:05:34,Mas120,Quest: Daddy's Home,0,2
2026-09-01 20:05:34,Mas120,Quest: Darkness of Hallowvale,0,0
2026-09-01 20:05:34,Mas120,Quest: Death on the Isle,0,0
2026-09-01 20:05:34,Mas120,Quest: Death to the Dorgeshuun,0,2
2026-09-01 20:05:34,Mas120,Quest: Defender of Varrock,0,0
2026-09-01 20:05:34,Mas120,Quest: Demon Slayer,0,2
2026-09-01 20:05:34,Mas120,Quest: Desert Treasure I,0,2
2026-09-01 20:05:34,Mas120,Quest: Desert Treasure II - The Fallen Empire,0,0
2026-09-01 20:05:34,Mas120,Quest: Devious Minds,0,0
2026-09-01 20:05:34,Mas120,Quest: Dragon Slayer II,0,0
2026-09-01 20:05:34,Mas120,Quest: Dream Mentor,0,0
2026-09-01 20:05:34,Mas120,Quest: Eagles' Peak,0,2
2026-09-01 20:05:34,Mas120,Quest: Elemental Workshop I,0,2
2026-09-01 20:05:34,Mas120,Quest: Elemental Workshop II,0,2
2026-09-01 20:05:34,Mas120,Quest: Enakhra's Lament,0,0
2026-09-01 20:05:34,Mas120,Quest: Enlightened Journey,0,2
2026-09-01 20:05:34,Mas120,Quest: Ethically Acquired Antiquities,0,0
2026-09-01 20:05:34,Mas120,Quest: Fairytale I - Growing Pains,0,2
2026-09-01 20:05:34,Mas120,Quest: Fairytale II - Cure a Queen,0,1
2026-09-01 20:05:34,Mas120,Quest: Family Pest,0,0
2026-09-01 20:05:34,Mas120,Quest: Forgettable Tale...,0,0
2026-09-01 20:05:34,Mas120,Quest: Garden of Tranquillity,0,2
2026-09-01 20:05:34,Mas120,Quest: Getting Ahead,0,0
2026-09-01 20:05:34,Mas120,Quest: Ghosts Ahoy,0,2
2026-09-01 20:05:34,Mas120,Quest: Goblin Diplomacy,0,2
2026-09-01 20:05:34,Mas120,Quest: Grim Tales,0,0
2026-09-01 20:05:34,Mas120,Quest: His Faithful Servants,0,0
2026-09-01 20:05:34,Mas120,Quest: Hopespear's Will,0,0
2026-09-01 20:05:34,Mas120,Quest: Horror from the Deep,0,2
2026-09-01 20:05:34,Mas120,Quest: Icthlarin's Little Helper,0,2
2026-09-01 20:05:34,Mas120,Quest: In Aid of the Myreque,0,2
2026-09-01 20:05:34,Mas120,Quest: In Search of Knowledge,0,0
2026-09-01 20:05:34,Mas120,Quest: Into the Tombs,0,0
2026-09-01 20:05:34,Mas120,Quest: King's Ransom,0,0
2026-09-01 20:05:34,Mas120,Quest: Lair of Tarn Razorlor,0,2
2026-09-01 20:05:34,Mas120,Quest: Land of the Goblins,0,0
2026-09-01 20:05:34,Mas120,Quest: Lunar Diplomacy,0,0
2026-09-01 20:05:34,Mas120,Quest: Mage Arena II,0,0
2026-09-01 20:05:34,Mas120,Quest: Making Friends with My Arm,0,0
2026-09-01 20:05:34,Mas120,Quest: Making History,0,2
2026-09-01 20:05:34,Mas120,Quest: Meat and Greet,0,0
2026-09-01 20:05:34,Mas120,Quest: Misthalin Mystery,0,2
2026-09-01 20:05:34,Mas120,Quest: Monkey Madness II,0,0
2026-09-01 20:05:34,Mas120,Quest: Mountain Daughter,0,2
2026-09-01 20:05:34,Mas120,Quest: Mourning's End Part II,0,0
2026-09-01 20:05:34,Mas120,Quest: My Arm's Big Adventure,0,0
2026-09-01 20:05:34,Mas120,Quest: Olaf's Quest,0,0
2026-09-01 20:05:34,Mas120,Quest: Pandemonium,0,0
2026-09-01 20:05:34,Mas120,Quest: Perilous Moons,0,2
2026-09-01 20:05:34,Mas120,Quest: Prying Times,0,0
2026-09-01 20:05:34,Mas120,Quest: Ratcatchers,0,0
2026-09-01 20:05:34,Mas120,Quest: Recipe for Disaster,0,2
2026-09-01 20:05:34,Mas120,Quest: Recipe for Disaster - Another Cook's Quest,0,2
2026-09-01 20:05:34,Mas120,Quest: Recipe for Disaster - Culinaromancer,0,2
2026-09-01 20:05:34,Mas120,Quest: Recipe for Disaster - Evil Dave,0,2
2026-09-01 20:05:34,Mas120,Quest: Recipe for Disaster - King Awowogei,0,2
2026-09-01 20:05:34,Mas120,Quest: Recipe for Disaster - Lumbridge Guide,0,2
2026-09-01 20:05:34,Mas120,Quest: Recipe for Disaster - Mountain Dwarf,0,2
2026-09-01 20:05:34,Mas120,Quest: Recipe for Disaster - Pirate Pete,0,2
2026-09-01 20:05:34,Mas120,Quest: Recipe for Disaster - Sir Amik Varze,0,2
2026-09-01 20:05:34,Mas120,Quest: Recipe for Disaster - Skrach Uglogwee,0,2
2026-09-01 20:05:34,Mas120,Quest: Recipe for Disaster - Wartface & Bentnoze,0,2
2026-09-01 20:05:34,Mas120,Quest: Recruitment Drive,0,2
2026-09-01 20:05:34,Mas120,Quest: Royal Trouble,0,0
2026-09-01 20:05:34,Mas120,Quest: Scrambled!,0,0
2026-09-01 20:05:34,Mas120,Quest: Secrets of the North,0,0
2026-09-01 20:05:34,Mas120,Quest: Shadow of the Storm,0,2
2026-09-01 20:05:34,Mas120,Quest: Shadows of Custodia,0,0
2026-09-01 20:05:34,Mas120,Quest: Shield of Arrav,0,2
2026-09-01 20:05:34,Mas120,Quest: Sins of the Father,0,0
2026-09-01 20:05:34,Mas120,Quest: Skippy and the Mogres,0,0
2026-09-01 20:05:34,Mas120,Quest: Sleeping Giants,0,2
2026-09-01 20:05:34,Mas120,Quest: Song of the Elves,0,0
2026-09-01 20:05:34,Mas120,Quest: Spirits of the Elid,0,2
2026-09-01 20:05:34,Mas120,Quest: Swan Song,0,0
2026-09-01 20:05:34,Mas120,Quest: Tale of the Righteous,0,0
2026-09-01 20:05:34,Mas120,Quest: Tears of Guthix,0,2
2026-09-01 20:05:34,Mas120,Quest: Temple of the Eye,0,2
2026-09-01 20:05:34,Mas120,Quest: The Ascent of Arceuus,0,0
2026-09-01 20:05:34,Mas120,Quest: The Blood Moon Rises,0,0
2026-09-01 20:05:34,Mas120,Quest: The Corsair Curse,0,0
2026-09-01 20:05:34,Mas120,Quest: The Curse of Arrav,0,0
2026-09-01 20:05:34,Mas120,Quest: The Depths of Despair,0,2
2026-09-01 20:05:34,Mas120,Quest: The Enchanted Key,0,1
2026-09-01 20:05:34,Mas120,Quest: The Eyes of Glouphrie,0,0
2026-09-01 20:05:34,Mas120,Quest: The Feud,0,2
2026-09-01 20:05:34,Mas120,Quest: The Final Dawn,0,2
2026-09-01 20:05:34,Mas120,Quest: The Forsaken Tower,0,0
2026-09-01 20:05:34,Mas120,Quest: The Fremennik Exiles,0,0
2026-09-01 20:05:34,Mas120,Quest: The Fremennik Isles,0,0
2026-09-01 20:05:34,Mas120,Quest: The Frozen Door,0,1
2026-09-01 20:05:34,Mas120,Quest: The Garden of Death,0,2
2026-09-01 20:05:34,Mas120,Quest: The General's Shadow,0,0
2026-09-01 20:05:34,Mas120,Quest: The Giant Dwarf,0,2
2026-09-01 20:05:34,Mas120,Quest: The Golem,0,2
2026-09-01 20:05:34,Mas120,Quest: The Hand in the Sand,0,2
2026-09-01 20:05:34,Mas120,Quest: The Heart of Darkness,0,2
2026-09-01 20:05:34,Mas120,Quest: The Ides of Milk,0,0
2026-09-01 20:05:34,Mas120,Quest: The Lost Tribe,0,2
2026-09-01 20:05:34,Mas120,Quest: The Path of Glouphrie,0,0
2026-09-01 20:05:34,Mas120,Quest: The Queen of Thieves,0,2
2026-09-01 20:05:34,Mas120,Quest: The Red Reef,0,0
2026-09-01 20:05:34,Mas120,Quest: The Ribbiting Tale of a Lily Pad Labour Dispute,0,2
2026-09-01 20:05:34,Mas120,Quest: The Slug Menace,0,2
2026-09-01 20:05:34,Mas120,Quest: Tower of Life,0,2
2026-09-01 20:05:34,Mas120,Quest: Troubled Tortugans,0,0
2026-09-01 20:05:34,Mas120,Quest: Twilight's Promise,0,2
2026-09-01 20:05:34,Mas120,Quest: Vale Totems,0,2
2026-09-01 20:05:34,Mas120,Quest: Wanted!,0,2
2026-09-01 20:05:34,Mas120,Quest: What Lies Below,0,0
2026-09-01 20:05:34,Mas120,Quest: While Guthix Sleeps,0,0
2026-09-01 20:05:34,Mas120,Quest: X Marks the Spot,0,2
